Index,Time,Raw_Wave,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Poor_Signal,Battery
70001,137.05223,384,null,null,null,null,null,null,null,null,null,null,null,null
70002,137.05259,357,null,null,null,null,null,null,null,null,null,null,null,null
70003,137.05283,345,null,null,null,null,null,null,null,null,null,null,null,null
70004,137.05314,365,null,null,null,null,null,null,null,null,null,null,null,null
70005,137.05875,408,null,null,null,null,null,null,null,null,null,null,null,null
70006,137.05894,489,null,null,null,null,null,null,null,null,null,null,null,null
70007,137.05909,566,null,null,null,null,null,null,null,null,null,null,null,null
70008,137.06043,537,null,null,null,null,null,null,null,null,null,null,null,null
70009,137.06059,449,null,null,null,null,null,null,null,null,null,null,null,null
70010,137.06455,471,null,null,null,null,null,null,null,null,null,null,null,null
70011,137.06471,460,null,null,null,null,null,null,null,null,null,null,null,null
70012,137.06689,310,null,null,null,null,null,null,null,null,null,null,null,null
70013,137.06729,185,null,null,null,null,null,null,null,null,null,null,null,null
70014,137.06746,197,null,null,null,null,null,null,null,null,null,null,null,null
70015,137.06759,264,null,null,null,null,null,null,null,null,null,null,null,null
70016,137.06770,292,null,null,null,null,null,null,null,null,null,null,null,null
70017,137.09547,274,null,null,null,null,null,null,null,null,null,null,null,null
70018,137.09635,258,null,null,null,null,null,null,null,null,null,null,null,null
70019,137.09712,244,null,null,null,null,null,null,null,null,null,null,null,null
70020,137.09776,235,null,null,null,null,null,null,null,null,null,null,null,null
70021,137.09803,304,null,null,null,null,null,null,null,null,null,null,null,null
70022,137.09825,377,null,null,null,null,null,null,null,null,null,null,null,null
70023,137.09852,358,null,null,null,null,null,null,null,null,null,null,null,null
70024,137.09867,252,null,null,null,null,null,null,null,null,null,null,null,null
70025,137.09887,166,null,null,null,null,null,null,null,null,null,null,null,null
70026,137.09916,162,null,null,null,null,null,null,null,null,null,null,null,null
70027,137.09943,163,null,null,null,null,null,null,null,null,null,null,null,null
70028,137.09999,115,null,null,null,null,null,null,null,null,null,null,null,null
70029,137.10039,49,null,null,null,null,null,null,null,null,null,null,null,null
70030,137.10062,-10,null,null,null,null,null,null,null,null,null,null,null,null
70031,137.10080,-29,null,null,null,null,null,null,null,null,null,null,null,null
70032,137.10100,-9,null,null,null,null,null,null,null,null,null,null,null,null
70033,137.10116,13,null,null,null,null,null,null,null,null,null,null,null,null
70034,137.10132,40,null,null,null,null,null,null,null,null,null,null,null,null
70035,137.10148,19,null,null,null,null,null,null,null,null,null,null,null,null
70036,137.10173,-34,null,null,null,null,null,null,null,null,null,null,null,null
70037,137.11830,-45,null,null,null,null,null,null,null,null,null,null,null,null
70038,137.11856,-22,null,null,null,null,null,null,null,null,null,null,null,null
70039,137.11934,-17,null,null,null,null,null,null,null,null,null,null,null,null
70040,137.11993,-77,null,null,null,null,null,null,null,null,null,null,null,null
70041,137.12018,-118,null,null,null,null,null,null,null,null,null,null,null,null
70042,137.12042,-58,null,null,null,null,null,null,null,null,null,null,null,null
70043,137.12069,26,null,null,null,null,null,null,null,null,null,null,null,null
70044,137.12095,80,null,null,null,null,null,null,null,null,null,null,null,null
70045,137.12114,122,null,null,null,null,null,null,null,null,null,null,null,null
70046,137.12128,171,null,null,null,null,null,null,null,null,null,null,null,null
70047,137.12143,181,null,null,null,null,null,null,null,null,null,null,null,null
70048,137.12164,137,null,null,null,null,null,null,null,null,null,null,null,null
70049,137.12177,90,null,null,null,null,null,null,null,null,null,null,null,null
70050,137.12189,57,null,null,null,null,null,null,null,null,null,null,null,null
70051,137.12210,85,null,null,null,null,null,null,null,null,null,null,null,null
70052,137.12233,96,null,null,null,null,null,null,null,null,null,null,null,null
70053,137.16329,null,48,17,646230,214336,26182,6785,28099,12928,25971,10053,0,null
70054,137.16361,59,null,null,null,null,null,null,null,null,null,null,null,null
70055,137.16392,41,null,null,null,null,null,null,null,null,null,null,null,null
70056,137.16454,65,null,null,null,null,null,null,null,null,null,null,null,null
70057,137.16482,88,null,null,null,null,null,null,null,null,null,null,null,null
70058,137.16507,91,null,null,null,null,null,null,null,null,null,null,null,null
70059,137.16524,86,null,null,null,null,null,null,null,null,null,null,null,null
70060,137.16541,100,null,null,null,null,null,null,null,null,null,null,null,null
70061,137.16560,119,null,null,null,null,null,null,null,null,null,null,null,null
70062,137.16583,90,null,null,null,null,null,null,null,null,null,null,null,null
70063,137.16627,29,null,null,null,null,null,null,null,null,null,null,null,null
70064,137.16657,-26,null,null,null,null,null,null,null,null,null,null,null,null
70065,137.16682,-67,null,null,null,null,null,null,null,null,null,null,null,null
70066,137.16715,-84,null,null,null,null,null,null,null,null,null,null,null,null
70067,137.16744,-113,null,null,null,null,null,null,null,null,null,null,null,null
70068,137.16771,-156,null,null,null,null,null,null,null,null,null,null,null,null
70069,137.16802,-186,null,null,null,null,null,null,null,null,null,null,null,null
70070,137.16817,-199,null,null,null,null,null,null,null,null,null,null,null,null
70071,137.16829,-218,null,null,null,null,null,null,null,null,null,null,null,null
70072,137.16846,-268,null,null,null,null,null,null,null,null,null,null,null,null
70073,137.18624,-317,null,null,null,null,null,null,null,null,null,null,null,null
70074,137.18651,-315,null,null,null,null,null,null,null,null,null,null,null,null
70075,137.18684,-274,null,null,null,null,null,null,null,null,null,null,null,null
70076,137.18709,-252,null,null,null,null,null,null,null,null,null,null,null,null
70077,137.18763,-243,null,null,null,null,null,null,null,null,null,null,null,null
