Index,Time,Raw_Wave,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Poor_Signal,Battery
10001,20.08801,-73,null,null,null,null,null,null,null,null,null,null,null,null
10002,20.09221,-56,null,null,null,null,null,null,null,null,null,null,null,null
10003,20.09244,-35,null,null,null,null,null,null,null,null,null,null,null,null
10004,20.09276,-22,null,null,null,null,null,null,null,null,null,null,null,null
10005,20.09308,-8,null,null,null,null,null,null,null,null,null,null,null,null
10006,20.09330,-3,null,null,null,null,null,null,null,null,null,null,null,null
10007,20.09352,-7,null,null,null,null,null,null,null,null,null,null,null,null
10008,20.09367,7,null,null,null,null,null,null,null,null,null,null,null,null
10009,20.09382,42,null,null,null,null,null,null,null,null,null,null,null,null
10010,20.09395,59,null,null,null,null,null,null,null,null,null,null,null,null
10011,20.09407,54,null,null,null,null,null,null,null,null,null,null,null,null
10012,20.09427,59,null,null,null,null,null,null,null,null,null,null,null,null
10013,20.09445,85,null,null,null,null,null,null,null,null,null,null,null,null
10014,20.09459,105,null,null,null,null,null,null,null,null,null,null,null,null
10015,20.09473,123,null,null,null,null,null,null,null,null,null,null,null,null
10016,20.09486,161,null,null,null,null,null,null,null,null,null,null,null,null
10017,20.09509,198,null,null,null,null,null,null,null,null,null,null,null,null
10018,20.09524,196,null,null,null,null,null,null,null,null,null,null,null,null
10019,20.09536,152,null,null,null,null,null,null,null,null,null,null,null,null
10020,20.09550,128,null,null,null,null,null,null,null,null,null,null,null,null
10021,20.14076,140,null,null,null,null,null,null,null,null,null,null,null,null
10022,20.14103,144,null,null,null,null,null,null,null,null,null,null,null,null
10023,20.14198,108,null,null,null,null,null,null,null,null,null,null,null,null
10024,20.14229,86,null,null,null,null,null,null,null,null,null,null,null,null
10025,20.14257,104,null,null,null,null,null,null,null,null,null,null,null,null
10026,20.14277,118,null,null,null,null,null,null,null,null,null,null,null,null
10027,20.14294,87,null,null,null,null,null,null,null,null,null,null,null,null
10028,20.14312,52,null,null,null,null,null,null,null,null,null,null,null,null
10029,20.14330,40,null,null,null,null,null,null,null,null,null,null,null,null
10030,20.14344,32,null,null,null,null,null,null,null,null,null,null,null,null
10031,20.14360,6,null,null,null,null,null,null,null,null,null,null,null,null
10032,20.14374,null,1,100,126271,97647,18611,34152,3592,2045,1539,1002,0,null
10033,20.14392,-24,null,null,null,null,null,null,null,null,null,null,null,null
10034,20.14409,-28,null,null,null,null,null,null,null,null,null,null,null,null
10035,20.14426,-14,null,null,null,null,null,null,null,null,null,null,null,null
10036,20.14453,-18,null,null,null,null,null,null,null,null,null,null,null,null
10037,20.16010,-55,null,null,null,null,null,null,null,null,null,null,null,null
10038,20.16044,-77,null,null,null,null,null,null,null,null,null,null,null,null
10039,20.16082,-75,null,null,null,null,null,null,null,null,null,null,null,null
10040,20.16115,-67,null,null,null,null,null,null,null,null,null,null,null,null
10041,20.16140,-72,null,null,null,null,null,null,null,null,null,null,null,null
10042,20.16174,-73,null,null,null,null,null,null,null,null,null,null,null,null
10043,20.16190,-57,null,null,null,null,null,null,null,null,null,null,null,null
10044,20.16208,-52,null,null,null,null,null,null,null,null,null,null,null,null
10045,20.16225,-37,null,null,null,null,null,null,null,null,null,null,null,null
10046,20.16239,-24,null,null,null,null,null,null,null,null,null,null,null,null
10047,20.16259,-26,null,null,null,null,null,null,null,null,null,null,null,null
10048,20.16274,-27,null,null,null,null,null,null,null,null,null,null,null,null
10049,20.16286,-29,null,null,null,null,null,null,null,null,null,null,null,null
10050,20.16304,-35,null,null,null,null,null,null,null,null,null,null,null,null
10051,20.16328,-13,null,null,null,null,null,null,null,null,null,null,null,null
10052,20.16344,35,null,null,null,null,null,null,null,null,null,null,null,null
10053,20.16357,77,null,null,null,null,null,null,null,null,null,null,null,null
10054,20.16374,80,null,null,null,null,null,null,null,null,null,null,null,null
10055,20.16388,83,null,null,null,null,null,null,null,null,null,null,null,null
10056,20.16402,109,null,null,null,null,null,null,null,null,null,null,null,null
10057,20.22477,132,null,null,null,null,null,null,null,null,null,null,null,null
10058,20.22507,135,null,null,null,null,null,null,null,null,null,null,null,null
10059,20.22570,118,null,null,null,null,null,null,null,null,null,null,null,null
10060,20.22628,121,null,null,null,null,null,null,null,null,null,null,null,null
10061,20.22661,140,null,null,null,null,null,null,null,null,null,null,null,null
10062,20.22715,146,null,null,null,null,null,null,null,null,null,null,null,null
10063,20.22750,136,null,null,null,null,null,null,null,null,null,null,null,null
10064,20.22768,125,null,null,null,null,null,null,null,null,null,null,null,null
10065,20.22783,117,null,null,null,null,null,null,null,null,null,null,null,null
10066,20.22797,108,null,null,null,null,null,null,null,null,null,null,null,null
10067,20.22856,103,null,null,null,null,null,null,null,null,null,null,null,null
10068,20.22878,106,null,null,null,null,null,null,null,null,null,null,null,null
10069,20.22947,136,null,null,null,null,null,null,null,null,null,null,null,null
10070,20.22999,160,null,null,null,null,null,null,null,null,null,null,null,null
10071,20.23021,140,null,null,null,null,null,null,null,null,null,null,null,null
10072,20.23056,115,null,null,null,null,null,null,null,null,null,null,null,null
10073,20.23076,122,null,null,null,null,null,null,null,null,null,null,null,null
10074,20.23089,151,null,null,null,null,null,null,null,null,null,null,null,null
10075,20.23142,151,null,null,null,null,null,null,null,null,null,null,null,null
10076,20.23156,121,null,null,null,null,null,null,null,null,null,null,null,null
10077,20.25012,100,null,null,null,null,null,null,null,null,null,null,null,null
10078,20.25038,92,null,null,null,null,null,null,null,null,null,null,null,null
10079,20.25075,80,null,null,null,null,null,null,null,null,null,null,null,null
10080,20.25102,55,null,null,null,null,null,null,null,null,null,null,null,null
10081,20.25130,53,null,null,null,null,null,null,null,null,null,null,null,null
10082,20.25147,70,null,null,null,null,null,null,null,null,null,null,null,null
10083,20.25163,65,null,null,null,null,null,null,null,null,null,null,null,null
10084,20.25184,37,null,null,null,null,null,null,null,null,null,null,null,null
10085,20.25199,20,null,null,null,null,null,null,null,null,null,null,null,null
10086,20.25213,8,null,null,null,null,null,null,null,null,null,null,null,null
10087,20.25229,17,null,null,null,null,null,null,null,null,null,null,null,null
10088,20.25248,24,null,null,null,null,null,null,null,null,null,null,null,null
10089,20.25263,16,null,null,null,null,null,null,null,null,null,null,null,null
10090,20.25277,18,null,null,null,null,null,null,null,null,null,null,null,null
10091,20.25291,34,null,null,null,null,null,null,null,null,null,null,null,null
10092,20.25304,11,null,null,null,null,null,null,null,null,null,null,null,null
10093,20.25318,-17,null,null,null,null,null,null,null,null,null,null,null,null
10094,20.25331,-11,null,null,null,null,null,null,null,null,null,null,null,null
10095,20.25346,5,null,null,null,null,null,null,null,null,null,null,null,null
10096,20.27279,10,null,null,null,null,null,null,null,null,null,null,null,null
10097,20.27308,-12,null,null,null,null,null,null,null,null,null,null,null,null
10098,20.27345,-26,null,null,null,null,null,null,null,null,null,null,null,null
10099,20.27394,-19,null,null,null,null,null,null,null,null,null,null,null,null
10100,20.27444,-17,null,null,null,null,null,null,null,null,null,null,null,null
10101,20.27531,-54,null,null,null,null,null,null,null,null,null,null,null,null
10102,20.27572,-86,null,null,null,null,null,null,null,null,null,null,null,null
10103,20.27598,-77,null,null,null,null,null,null,null,null,null,null,null,null
10104,20.27660,-50,null,null,null,null,null,null,null,null,null,null,null,null
10105,20.27678,-40,null,null,null,null,null,null,null,null,null,null,null,null
10106,20.27697,-43,null,null,null,null,null,null,null,null,null,null,null,null
10107,20.27718,-25,null,null,null,null,null,null,null,null,null,null,null,null
10108,20.27766,-3,null,null,null,null,null,null,null,null,null,null,null,null
10109,20.27785,-17,null,null,null,null,null,null,null,null,null,null,null,null
10110,20.27862,-30,null,null,null,null,null,null,null,null,null,null,null,null
10111,20.27877,7,null,null,null,null,null,null,null,null,null,null,null,null
10112,20.27899,70,null,null,null,null,null,null,null,null,null,null,null,null
10113,20.27915,88,null,null,null,null,null,null,null,null,null,null,null,null
10114,20.27929,74,null,null,null,null,null,null,null,null,null,null,null,null
10115,20.27942,82,null,null,null,null,null,null,null,null,null,null,null,null
10116,20.32082,121,null,null,null,null,null,null,null,null,null,null,null,null
10117,20.32112,144,null,null,null,null,null,null,null,null,null,null,null,null
10118,20.32163,134,null,null,null,null,null,null,null,null,null,null,null,null
10119,20.32260,145,null,null,null,null,null,null,null,null,null,null,null,null
10120,20.32356,172,null,null,null,null,null,null,null,null,null,null,null,null
10121,20.32393,188,null,null,null,null,null,null,null,null,null,null,null,null
10122,20.32409,168,null,null,null,null,null,null,null,null,null,null,null,null
10123,20.32434,139,null,null,null,null,null,null,null,null,null,null,null,null
10124,20.32451,149,null,null,null,null,null,null,null,null,null,null,null,null
10125,20.32465,160,null,null,null,null,null,null,null,null,null,null,null,null
10126,20.32526,145,null,null,null,null,null,null,null,null,null,null,null,null
10127,20.32581,103,null,null,null,null,null,null,null,null,null,null,null,null
10128,20.32628,80,null,null,null,null,null,null,null,null,null,null,null,null
10129,20.32644,86,null,null,null,null,null,null,null,null,null,null,null,null
10130,20.32660,93,null,null,null,null,null,null,null,null,null,null,null,null
10131,20.32673,73,null,null,null,null,null,null,null,null,null,null,null,null
10132,20.32689,69,null,null,null,null,null,null,null,null,null,null,null,null
10133,20.32703,86,null,null,null,null,null,null,null,null,null,null,null,null
10134,20.32714,82,null,null,null,null,null,null,null,null,null,null,null,null
10135,20.36310,39,null,null,null,null,null,null,null,null,null,null,null,null
10136,20.36337,-6,null,null,null,null,null,null,null,null,null,null,null,null
10137,20.36369,-23,null,null,null,null,null,null,null,null,null,null,null,null
10138,20.36399,-8,null,null,null,null,null,null,null,null,null,null,null,null
10139,20.36422,-29,null,null,null,null,null,null,null,null,null,null,null,null
10140,20.36447,-81,null,null,null,null,null,null,null,null,null,null,null,null
10141,20.36462,-83,null,null,null,null,null,null,null,null,null,null,null,null
10142,20.36476,-66,null,null,null,null,null,null,null,null,null,null,null,null
10143,20.36489,-58,null,null,null,null,null,null,null,null,null,null,null,null
10144,20.36502,-61,null,null,null,null,null,null,null,null,null,null,null,null
10145,20.36516,-51,null,null,null,null,null,null,null,null,null,null,null,null
10146,20.36529,-25,null,null,null,null,null,null,null,null,null,null,null,null
10147,20.36557,-22,null,null,null,null,null,null,null,null,null,null,null,null
10148,20.36574,-34,null,null,null,null,null,null,null,null,null,null,null,null
10149,20.36627,-34,null,null,null,null,null,null,null,null,null,null,null,null
10150,20.36703,-3,null,null,null,null,null,null,null,null,null,null,null,null
10151,20.36731,26,null,null,null,null,null,null,null,null,null,null,null,null
10152,20.36751,34,null,null,null,null,null,null,null,null,null,null,null,null
10153,20.36765,39,null,null,null,null,null,null,null,null,null,null,null,null
10154,20.36793,69,null,null,null,null,null,null,null,null,null,null,null,null
10155,20.38456,102,null,null,null,null,null,null,null,null,null,null,null,null
10156,20.38479,130,null,null,null,null,null,null,null,null,null,null,null,null
10157,20.38533,134,null,null,null,null,null,null,null,null,null,null,null,null
10158,20.38591,134,null,null,null,null,null,null,null,null,null,null,null,null
10159,20.38642,145,null,null,null,null,null,null,null,null,null,null,null,null
10160,20.38664,165,null,null,null,null,null,null,null,null,null,null,null,null
10161,20.38696,165,null,null,null,null,null,null,null,null,null,null,null,null
10162,20.38714,163,null,null,null,null,null,null,null,null,null,null,null,null
10163,20.38733,170,null,null,null,null,null,null,null,null,null,null,null,null
10164,20.38754,170,null,null,null,null,null,null,null,null,null,null,null,null
10165,20.38770,149,null,null,null,null,null,null,null,null,null,null,null,null
10166,20.38783,135,null,null,null,null,null,null,null,null,null,null,null,null
10167,20.38798,155,null,null,null,null,null,null,null,null,null,null,null,null
10168,20.38816,181,null,null,null,null,null,null,null,null,null,null,null,null
10169,20.38833,160,null,null,null,null,null,null,null,null,null,null,null,null
10170,20.38848,115,null,null,null,null,null,null,null,null,null,null,null,null
10171,20.38866,109,null,null,null,null,null,null,null,null,null,null,null,null
10172,20.38888,138,null,null,null,null,null,null,null,null,null,null,null,null
10173,20.38902,139,null,null,null,null,null,null,null,null,null,null,null,null
10174,20.38923,99,null,null,null,null,null,null,null,null,null,null,null,null
10175,20.43055,68,null,null,null,null,null,null,null,null,null,null,null,null
10176,20.43089,59,null,null,null,null,null,null,null,null,null,null,null,null
10177,20.43120,54,null,null,null,null,null,null,null,null,null,null,null,null
10178,20.43146,37,null,null,null,null,null,null,null,null,null,null,null,null
10179,20.43195,24,null,null,null,null,null,null,null,null,null,null,null,null
10180,20.43228,43,null,null,null,null,null,null,null,null,null,null,null,null
10181,20.43249,51,null,null,null,null,null,null,null,null,null,null,null,null
10182,20.43270,27,null,null,null,null,null,null,null,null,null,null,null,null
10183,20.43297,11,null,null,null,null,null,null,null,null,null,null,null,null
10184,20.43311,6,null,null,null,null,null,null,null,null,null,null,null,null
10185,20.43324,-4,null,null,null,null,null,null,null,null,null,null,null,null
10186,20.43336,-37,null,null,null,null,null,null,null,null,null,null,null,null
10187,20.43352,-74,null,null,null,null,null,null,null,null,null,null,null,null
10188,20.43371,-82,null,null,null,null,null,null,null,null,null,null,null,null
10189,20.43390,-60,null,null,null,null,null,null,null,null,null,null,null,null
10190,20.43405,-54,null,null,null,null,null,null,null,null,null,null,null,null
10191,20.43426,-59,null,null,null,null,null,null,null,null,null,null,null,null
10192,20.43441,-43,null,null,null,null,null,null,null,null,null,null,null,null
10193,20.43453,-20,null,null,null,null,null,null,null,null,null,null,null,null
10194,20.47512,-24,null,null,null,null,null,null,null,null,null,null,null,null
10195,20.47539,-50,null,null,null,null,null,null,null,null,null,null,null,null
10196,20.47564,-44,null,null,null,null,null,null,null,null,null,null,null,null
10197,20.47591,-11,null,null,null,null,null,null,null,null,null,null,null,null
10198,20.47616,5,null,null,null,null,null,null,null,null,null,null,null,null
10199,20.47642,-4,null,null,null,null,null,null,null,null,null,null,null,null
10200,20.47658,-19,null,null,null,null,null,null,null,null,null,null,null,null
10201,20.47673,-9,null,null,null,null,null,null,null,null,null,null,null,null
10202,20.47687,22,null,null,null,null,null,null,null,null,null,null,null,null
10203,20.47702,36,null,null,null,null,null,null,null,null,null,null,null,null
10204,20.47718,32,null,null,null,null,null,null,null,null,null,null,null,null
10205,20.47735,43,null,null,null,null,null,null,null,null,null,null,null,null
10206,20.47754,56,null,null,null,null,null,null,null,null,null,null,null,null
10207,20.47768,72,null,null,null,null,null,null,null,null,null,null,null,null
10208,20.47783,80,null,null,null,null,null,null,null,null,null,null,null,null
10209,20.47795,86,null,null,null,null,null,null,null,null,null,null,null,null
10210,20.47913,97,null,null,null,null,null,null,null,null,null,null,null,null
10211,20.47928,96,null,null,null,null,null,null,null,null,null,null,null,null
10212,20.47941,75,null,null,null,null,null,null,null,null,null,null,null,null
10213,20.47957,54,null,null,null,null,null,null,null,null,null,null,null,null
10214,20.49768,48,null,null,null,null,null,null,null,null,null,null,null,null
10215,20.49792,59,null,null,null,null,null,null,null,null,null,null,null,null
10216,20.49824,66,null,null,null,null,null,null,null,null,null,null,null,null
10217,20.49850,57,null,null,null,null,null,null,null,null,null,null,null,null
10218,20.49874,71,null,null,null,null,null,null,null,null,null,null,null,null
10219,20.49890,96,null,null,null,null,null,null,null,null,null,null,null,null
10220,20.49904,97,null,null,null,null,null,null,null,null,null,null,null,null
10221,20.49917,69,null,null,null,null,null,null,null,null,null,null,null,null
10222,20.49932,37,null,null,null,null,null,null,null,null,null,null,null,null
10223,20.49946,39,null,null,null,null,null,null,null,null,null,null,null,null
10224,20.49958,52,null,null,null,null,null,null,null,null,null,null,null,null
10225,20.49975,50,null,null,null,null,null,null,null,null,null,null,null,null
10226,20.49993,42,null,null,null,null,null,null,null,null,null,null,null,null
10227,20.50011,40,null,null,null,null,null,null,null,null,null,null,null,null
10228,20.50028,42,null,null,null,null,null,null,null,null,null,null,null,null
10229,20.50048,22,null,null,null,null,null,null,null,null,null,null,null,null
10230,20.50186,-8,null,null,null,null,null,null,null,null,null,null,null,null
10231,20.50202,-6,null,null,null,null,null,null,null,null,null,null,null,null
10232,20.50216,3,null,null,null,null,null,null,null,null,null,null,null,null
10233,20.50234,-11,null,null,null,null,null,null,null,null,null,null,null,null
10234,20.54551,-41,null,null,null,null,null,null,null,null,null,null,null,null
10235,20.54592,-43,null,null,null,null,null,null,null,null,null,null,null,null
