Index,Time,Raw_Wave,Attention,Meditation,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma,Poor_Signal,Battery
1,0.00000,-2048,null,null,null,null,null,null,null,null,null,null,null,null
2,0.01450,-2048,null,null,null,null,null,null,null,null,null,null,null,null
3,0.03046,-2048,null,null,null,null,null,null,null,null,null,null,null,null
4,0.04511,-11,null,null,null,null,null,null,null,null,null,null,null,null
5,0.06362,2047,null,null,null,null,null,null,null,null,null,null,null,null
6,0.07963,2047,null,null,null,null,null,null,null,null,null,null,null,null
7,0.10102,844,null,null,null,null,null,null,null,null,null,null,null,null
8,0.11975,-2048,null,null,null,null,null,null,null,null,null,null,null,null
9,0.15051,-2048,null,null,null,null,null,null,null,null,null,null,null,null
10,0.16762,-2048,null,null,null,null,null,null,null,null,null,null,null,null
11,0.19158,-2048,null,null,null,null,null,null,null,null,null,null,null,null
12,0.20801,-2043,null,null,null,null,null,null,null,null,null,null,null,null
13,0.24742,2047,null,null,null,null,null,null,null,null,null,null,null,null
14,0.26262,2047,null,null,null,null,null,null,null,null,null,null,null,null
15,0.28631,2047,null,null,null,null,null,null,null,null,null,null,null,null
16,0.30923,-1766,null,null,null,null,null,null,null,null,null,null,null,null
17,0.33125,-2048,null,null,null,null,null,null,null,null,null,null,null,null
18,0.35232,-2048,null,null,null,null,null,null,null,null,null,null,null,null
19,0.39384,-2048,null,null,null,null,null,null,null,null,null,null,null,null
20,0.40907,-2048,null,null,null,null,null,null,null,null,null,null,null,null
21,0.43086,-948,null,null,null,null,null,null,null,null,null,null,null,null
22,0.44664,2047,null,null,null,null,null,null,null,null,null,null,null,null
23,0.46103,2047,null,null,null,null,null,null,null,null,null,null,null,null
24,0.47612,2047,null,null,null,null,null,null,null,null,null,null,null,null
25,0.49069,-2048,null,null,null,null,null,null,null,null,null,null,null,null
26,0.50611,-2048,null,null,null,null,null,null,null,null,null,null,null,null
27,0.52024,-2048,null,null,null,null,null,null,null,null,null,null,null,null
28,0.53596,-2048,null,null,null,null,null,null,null,null,null,null,null,null
29,0.55198,-2048,null,null,null,null,null,null,null,null,null,null,null,null
30,0.56675,2047,null,null,null,null,null,null,null,null,null,null,null,null
31,0.58153,2047,null,null,null,null,null,null,null,null,null,null,null,null
32,0.59971,2047,null,null,null,null,null,null,null,null,null,null,null,null
33,0.61560,-1274,null,null,null,null,null,null,null,null,null,null,null,null
34,0.63379,-2048,null,null,null,null,null,null,null,null,null,null,null,null
35,0.64902,-2048,null,null,null,null,null,null,null,null,null,null,null,null
36,0.66699,-2048,null,null,null,null,null,null,null,null,null,null,null,null
37,0.68475,-2048,null,null,null,null,null,null,null,null,null,null,null,null
38,0.70262,-1378,null,null,null,null,null,null,null,null,null,null,null,null
39,0.71797,2047,null,null,null,null,null,null,null,null,null,null,null,null
40,0.73478,2047,null,null,null,null,null,null,null,null,null,null,null,null
41,0.75076,2047,null,null,null,null,null,null,null,null,null,null,null,null
42,0.76827,-2048,null,null,null,null,null,null,null,null,null,null,null,null
43,0.78306,-2048,null,null,null,null,null,null,null,null,null,null,null,null
44,0.80097,-2048,null,null,null,null,null,null,null,null,null,null,null,null
45,0.81588,-2048,null,null,null,null,null,null,null,null,null,null,null,null
46,0.83294,-2048,null,null,null,null,null,null,null,null,null,null,null,null
47,0.84815,null,0,0,227327,156843,97785,131894,68424,196576,85193,245892,200,null
48,0.86195,2047,null,null,null,null,null,null,null,null,null,null,null,null
49,0.87679,2047,null,null,null,null,null,null,null,null,null,null,null,null
50,0.89183,2047,null,null,null,null,null,null,null,null,null,null,null,null
51,0.90802,-1077,null,null,null,null,null,null,null,null,null,null,null,null
52,0.92271,-2048,null,null,null,null,null,null,null,null,null,null,null,null
53,0.93836,-2048,null,null,null,null,null,null,null,null,null,null,null,null
54,0.95259,-2048,null,null,null,null,null,null,null,null,null,null,null,null
55,0.96982,-2048,null,null,null,null,null,null,null,null,null,null,null,null
56,0.98477,-1483,null,null,null,null,null,null,null,null,null,null,null,null
57,1.00031,2047,null,null,null,null,null,null,null,null,null,null,null,null
58,1.01533,2047,null,null,null,null,null,null,null,null,null,null,null,null
59,1.02953,2047,null,null,null,null,null,null,null,null,null,null,null,null
60,1.04593,-2048,null,null,null,null,null,null,null,null,null,null,null,null
61,1.06102,-2048,null,null,null,null,null,null,null,null,null,null,null,null
62,1.07576,-2048,null,null,null,null,null,null,null,null,null,null,null,null
63,1.09331,-2048,null,null,null,null,null,null,null,null,null,null,null,null
64,1.11405,-2048,null,null,null,null,null,null,null,null,null,null,null,null
65,1.13233,2047,null,null,null,null,null,null,null,null,null,null,null,null
66,1.14862,2047,null,null,null,null,null,null,null,null,null,null,null,null
67,1.16648,2047,null,null,null,null,null,null,null,null,null,null,null,null
68,1.18281,-274,null,null,null,null,null,null,null,null,null,null,null,null
69,1.20200,-2048,null,null,null,null,null,null,null,null,null,null,null,null
70,1.21741,-2048,null,null,null,null,null,null,null,null,null,null,null,null
71,1.23382,-2048,null,null,null,null,null,null,null,null,null,null,null,null
72,1.25095,-2048,null,null,null,null,null,null,null,null,null,null,null,null
73,1.26844,-1799,null,null,null,null,null,null,null,null,null,null,null,null
74,1.28568,2047,null,null,null,null,null,null,null,null,null,null,null,null
75,1.30336,2047,null,null,null,null,null,null,null,null,null,null,null,null
76,1.31894,2047,null,null,null,null,null,null,null,null,null,null,null,null
77,1.33689,-2048,null,null,null,null,null,null,null,null,null,null,null,null
78,1.35235,-2048,null,null,null,null,null,null,null,null,null,null,null,null
79,1.36972,-2048,null,null,null,null,null,null,null,null,null,null,null,null
80,1.38373,-2048,null,null,null,null,null,null,null,null,null,null,null,null
81,1.39728,-2048,null,null,null,null,null,null,null,null,null,null,null,null
82,1.41053,1827,null,null,null,null,null,null,null,null,null,null,null,null
83,1.42472,2047,null,null,null,null,null,null,null,null,null,null,null,null
84,1.44017,2047,null,null,null,null,null,null,null,null,null,null,null,null
85,1.45649,374,null,null,null,null,null,null,null,null,null,null,null,null
86,1.47447,-2048,null,null,null,null,null,null,null,null,null,null,null,null
87,1.48992,-2048,null,null,null,null,null,null,null,null,null,null,null,null
88,1.50743,-2048,null,null,null,null,null,null,null,null,null,null,null,null
89,1.52421,-2048,null,null,null,null,null,null,null,null,null,null,null,null
90,1.54131,-1944,null,null,null,null,null,null,null,null,null,null,null,null
91,1.55765,2047,null,null,null,null,null,null,null,null,null,null,null,null
92,1.57548,2047,null,null,null,null,null,null,null,null,null,null,null,null
93,1.59127,2047,null,null,null,null,null,null,null,null,null,null,null,null
94,1.60641,-2048,null,null,null,null,null,null,null,null,null,null,null,null
95,1.62105,-2048,null,null,null,null,null,null,null,null,null,null,null,null
96,1.63626,-2048,null,null,null,null,null,null,null,null,null,null,null,null
97,1.65138,-2048,null,null,null,null,null,null,null,null,null,null,null,null
98,1.66771,-2048,null,null,null,null,null,null,null,null,null,null,null,null
99,1.68193,1140,null,null,null,null,null,null,null,null,null,null,null,null
100,1.69547,2047,null,null,null,null,null,null,null,null,null,null,null,null
101,1.71385,2047,null,null,null,null,null,null,null,null,null,null,null,null
102,1.72737,1009,null,null,null,null,null,null,null,null,null,null,null,null
103,1.74196,-2048,null,null,null,null,null,null,null,null,null,null,null,null
104,1.75712,-2048,null,null,null,null,null,null,null,null,null,null,null,null
105,1.77217,-2048,null,null,null,null,null,null,null,null,null,null,null,null
106,1.78730,-2048,null,null,null,null,null,null,null,null,null,null,null,null
107,1.80310,-2048,null,null,null,null,null,null,null,null,null,null,null,null
108,1.81851,2047,null,null,null,null,null,null,null,null,null,null,null,null
109,1.83352,2047,null,null,null,null,null,null,null,null,null,null,null,null
110,1.85129,2047,null,null,null,null,null,null,null,null,null,null,null,null
111,1.87259,-2048,null,null,null,null,null,null,null,null,null,null,null,null
112,1.88886,-2048,null,null,null,null,null,null,null,null,null,null,null,null
113,1.90698,-2048,null,null,null,null,null,null,null,null,null,null,null,null
114,1.92455,-2048,null,null,null,null,null,null,null,null,null,null,null,null
115,1.94568,-2048,null,null,null,null,null,null,null,null,null,null,null,null
116,1.96422,1317,null,null,null,null,null,null,null,null,null,null,null,null
117,1.97841,2047,null,null,null,null,null,null,null,null,null,null,null,null
118,1.99382,2047,null,null,null,null,null,null,null,null,null,null,null,null
119,2.01014,-167,null,null,null,null,null,null,null,null,null,null,null,null
120,2.02546,-2048,null,null,null,null,null,null,null,null,null,null,null,null
121,2.04210,-2048,null,null,null,null,null,null,null,null,null,null,null,null
122,2.05712,-2048,null,null,null,null,null,null,null,null,null,null,null,null
123,2.07236,-2048,null,null,null,null,null,null,null,null,null,null,null,null
124,2.08723,-2024,null,null,null,null,null,null,null,null,null,null,null,null
125,2.10463,2047,null,null,null,null,null,null,null,null,null,null,null,null
126,2.11923,2047,null,null,null,null,null,null,null,null,null,null,null,null
127,2.13448,2047,null,null,null,null,null,null,null,null,null,null,null,null
128,2.14976,-2048,null,null,null,null,null,null,null,null,null,null,null,null
129,2.16603,-2048,null,null,null,null,null,null,null,null,null,null,null,null
130,2.18157,-2048,null,null,null,null,null,null,null,null,null,null,null,null
131,2.19517,-2048,null,null,null,null,null,null,null,null,null,null,null,null
132,2.21024,-2046,null,null,null,null,null,null,null,null,null,null,null,null
133,2.22552,978,null,null,null,null,null,null,null,null,null,null,null,null
134,2.24126,2047,null,null,null,null,null,null,null,null,null,null,null,null
135,2.25661,2047,null,null,null,null,null,null,null,null,null,null,null,null
136,2.27171,-1725,null,null,null,null,null,null,null,null,null,null,null,null
137,2.28658,-2048,null,null,null,null,null,null,null,null,null,null,null,null
138,2.30172,-2048,null,null,null,null,null,null,null,null,null,null,null,null
139,2.31669,-2048,null,null,null,null,null,null,null,null,null,null,null,null
140,2.33226,-2048,null,null,null,null,null,null,null,null,null,null,null,null
141,2.34826,-1966,null,null,null,null,null,null,null,null,null,null,null,null
142,2.36385,2047,null,null,null,null,null,null,null,null,null,null,null,null
143,2.38064,2047,null,null,null,null,null,null,null,null,null,null,null,null
144,2.39489,2047,null,null,null,null,null,null,null,null,null,null,null,null
145,2.40850,-2048,null,null,null,null,null,null,null,null,null,null,null,null
146,2.42788,-2048,null,null,null,null,null,null,null,null,null,null,null,null
147,2.44247,-2048,null,null,null,null,null,null,null,null,null,null,null,null
148,2.45822,-2048,null,null,null,null,null,null,null,null,null,null,null,null
149,2.47703,-1993,null,null,null,null,null,null,null,null,null,null,null,null
150,2.49402,-622,null,null,null,null,null,null,null,null,null,null,null,null
151,2.51490,2047,null,null,null,null,null,null,null,null,null,null,null,null
152,2.53188,2047,null,null,null,null,null,null,null,null,null,null,null,null
153,2.55045,906,null,null,null,null,null,null,null,null,null,null,null,null
154,2.56702,-2048,null,null,null,null,null,null,null,null,null,null,null,null
155,2.58794,-2048,null,null,null,null,null,null,null,null,null,null,null,null
156,2.60374,-2048,null,null,null,null,null,null,null,null,null,null,null,null
157,2.62192,-2039,null,null,null,null,null,null,null,null,null,null,null,null
158,2.63992,-1958,null,null,null,null,null,null,null,null,null,null,null,null
159,2.65787,2047,null,null,null,null,null,null,null,null,null,null,null,null
160,2.67403,2047,null,null,null,null,null,null,null,null,null,null,null,null
161,2.69154,2047,null,null,null,null,null,null,null,null,null,null,null,null
162,2.70957,-2048,null,null,null,null,null,null,null,null,null,null,null,null
163,2.72589,-2048,null,null,null,null,null,null,null,null,null,null,null,null
164,2.74105,-2048,null,null,null,null,null,null,null,null,null,null,null,null
165,2.75609,-2048,null,null,null,null,null,null,null,null,null,null,null,null
166,2.77098,-2043,null,null,null,null,null,null,null,null,null,null,null,null
167,2.78721,-857,null,null,null,null,null,null,null,null,null,null,null,null
168,2.80161,2047,null,null,null,null,null,null,null,null,null,null,null,null
169,2.81727,2047,null,null,null,null,null,null,null,null,null,null,null,null
170,2.83236,2047,null,null,null,null,null,null,null,null,null,null,null,null
171,2.84833,-2048,null,null,null,null,null,null,null,null,null,null,null,null
172,2.86485,-2048,null,null,null,null,null,null,null,null,null,null,null,null
173,2.88080,-2048,null,null,null,null,null,null,null,null,null,null,null,null
174,2.89655,-2048,null,null,null,null,null,null,null,null,null,null,null,null
175,2.91073,-2040,null,null,null,null,null,null,null,null,null,null,null,null
176,2.92645,2047,null,null,null,null,null,null,null,null,null,null,null,null
177,2.94265,2047,null,null,null,null,null,null,null,null,null,null,null,null
178,2.95836,2047,null,null,null,null,null,null,null,null,null,null,null,null
179,2.97376,-855,null,null,null,null,null,null,null,null,null,null,null,null
180,2.99004,-2048,null,null,null,null,null,null,null,null,null,null,null,null
